Accession,Organism_Name,Species,Isolate,Segment,Length,Nuc_Completeness,Country,Host,Collection_Date,isolate_clean,country_clean,isolate_key
DQ380161,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,complete,Central African Republic,Homo sapiens,1985,ACCESSION_DQ380161,Central African Republic,Central African Republic | ACCESSION_DQ380161
DQ380162,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,complete,Central African Republic,Homo sapiens,1973,ACCESSION_DQ380162,Central African Republic,Central African Republic | ACCESSION_DQ380162
DQ380163,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,complete,Central African Republic,Homo sapiens,1974,ACCESSION_DQ380163,Central African Republic,Central African Republic | ACCESSION_DQ380163
DQ380167,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,complete,Central African Republic,Mansonia africana,1969,ACCESSION_DQ380167,Central African Republic,Central African Republic | ACCESSION_DQ380167
DQ380172,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,complete,Central African Republic,Homo sapiens,1973,ACCESSION_DQ380172,Central African Republic,Central African Republic | ACCESSION_DQ380172
DQ380182,Rift Valley fever virus,Phlebovirus riftense,NA,S,1141,complete,Central African Republic,NA,1974,ACCESSION_DQ380182,Central African Republic,Central African Republic | ACCESSION_DQ380182
DQ380211,Rift Valley fever virus,Phlebovirus riftense,NA,M,3885,complete,Central African Republic,Homo sapiens,1973,ACCESSION_DQ380211,Central African Republic,Central African Republic | ACCESSION_DQ380211
DQ380212,Rift Valley fever virus,Phlebovirus riftense,NA,M,3885,complete,Central African Republic,Homo sapiens,1974,ACCESSION_DQ380212,Central African Republic,Central African Republic | ACCESSION_DQ380212
DQ380217,Rift Valley fever virus,Phlebovirus riftense,NA,M,3885,complete,Central African Republic,Mansonia africana,1969,ACCESSION_DQ380217,Central African Republic,Central African Republic | ACCESSION_DQ380217
DQ380218,Rift Valley fever virus,Phlebovirus riftense,NA,M,3885,complete,Central African Republic,Homo sapiens,1985,ACCESSION_DQ380218,Central African Republic,Central African Republic | ACCESSION_DQ380218
DQ380219,Rift Valley fever virus,Phlebovirus riftense,NA,M,3885,complete,Central African Republic,Homo sapiens,1985,ACCESSION_DQ380219,Central African Republic,Central African Republic | ACCESSION_DQ380219
DQ380221,Rift Valley fever virus,Phlebovirus riftense,NA,M,3885,complete,Central African Republic,Homo sapiens,1973,ACCESSION_DQ380221,Central African Republic,Central African Republic | ACCESSION_DQ380221
EU312122,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,complete,Central African Republic,Homo sapiens,1985,ACCESSION_EU312122,Central African Republic,Central African Republic | ACCESSION_EU312122
KJ782452,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,complete,Central African Republic,Homo sapiens,1985-12-24,ACCESSION_KJ782452,Central African Republic,Central African Republic | ACCESSION_KJ782452
KJ782453,Rift Valley fever virus,Phlebovirus riftense,NA,M,3885,complete,Central African Republic,Homo sapiens,1985-12-24,ACCESSION_KJ782453,Central African Republic,Central African Republic | ACCESSION_KJ782453
KJ782454,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,Central African Republic,Homo sapiens,1985-12-24,ACCESSION_KJ782454,Central African Republic,Central African Republic | ACCESSION_KJ782454
KJ782455,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,partial,Central African Republic,Aedes palpalae,1969-06-12,ACCESSION_KJ782455,Central African Republic,Central African Republic | ACCESSION_KJ782455
KJ782456,Rift Valley fever virus,Phlebovirus riftense,NA,M,3885,partial,Central African Republic,Aedes palpalae,1969-06-12,ACCESSION_KJ782456,Central African Republic,Central African Republic | ACCESSION_KJ782456
KJ782457,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,partial,Central African Republic,Aedes palpalae,1969-06-12,ACCESSION_KJ782457,Central African Republic,Central African Republic | ACCESSION_KJ782457
HM587083,Rift Valley fever virus,Phlebovirus riftense,ArB1976,M,490,partial,Central African Republic,Mansonia africana,1969,ArB1976,Central African Republic,Central African Republic | ArB1976
HM587086,Rift Valley fever virus,Phlebovirus riftense,CAR R1662,M,490,partial,Central African Republic,Homo sapiens,1985,CAR R1662,Central African Republic,Central African Republic | CAR R1662
HM587087,Rift Valley fever virus,Phlebovirus riftense,CAR R1752,M,490,partial,Central African Republic,Homo sapiens,1986,CAR R1752,Central African Republic,Central African Republic | CAR R1752
OP146104,Rift Valley fever virus,Phlebovirus riftense,RSA/OBP/RVFVClone13/LAV,L,6404,partial,Central African Republic,NA,1974,RSA/OBP/RVFVClone13/LAV,Central African Republic,Central African Republic | RSA/OBP/RVFVClone13/LAV
OP146105,Rift Valley fever virus,Phlebovirus riftense,RSA/OBP/RVFVClone13/LAV,M,3885,partial,Central African Republic,NA,1974,RSA/OBP/RVFVClone13/LAV,Central African Republic,Central African Republic | RSA/OBP/RVFVClone13/LAV
OP146106,Rift Valley fever virus,Phlebovirus riftense,RSA/OBP/RVFVClone13/LAV,S,1141,partial,Central African Republic,NA,1974,RSA/OBP/RVFVClone13/LAV,Central African Republic,Central African Republic | RSA/OBP/RVFVClone13/LAV
KU978779,Rift Valley fever virus,Phlebovirus riftense,ZINGA J83 R1,L,6453,partial,Central African Republic,Homo sapiens,1969-01-01,ZINGA J83 R1,Central African Republic,Central African Republic | ZINGA J83 R1
KU978776,Rift Valley fever virus,Phlebovirus riftense,ZINGA J83 R1,M,3951,partial,Central African Republic,Homo sapiens,1969-01-01,ZINGA J83 R1,Central African Republic,Central African Republic | ZINGA J83 R1
KU978773,Rift Valley fever virus,Phlebovirus riftense,ZINGA J83 R1,S,1707,partial,Central African Republic,Homo sapiens,1969-01-01,ZINGA J83 R1,Central African Republic,Central African Republic | ZINGA J83 R1
PX580508,Rift Valley fever virus,Phlebovirus riftense,NA,S,1556,complete,Chad,Homo sapiens,2001,ACCESSION_PX580508,Chad,Chad | ACCESSION_PX580508
PX580510,Rift Valley fever virus,Phlebovirus riftense,CHA01,L,6352,partial,Chad,Homo sapiens,2001,CHA01,Chad,Chad | CHA01
PX580509,Rift Valley fever virus,Phlebovirus riftense,CHA01,M,3827,partial,Chad,Homo sapiens,2001,CHA01,Chad,Chad | CHA01
HM587043,Rift Valley fever virus,Phlebovirus riftense,93-Abeer,M,490,partial,Egypt,Homo sapiens,1993,93-Abeer,Egypt,Egypt | 93-Abeer
HM587042,Rift Valley fever virus,Phlebovirus riftense,94EG Tambul,M,490,partial,Egypt,Ovis aries,1994,94EG Tambul,Egypt,Egypt | 94EG Tambul
HM587115,Rift Valley fever virus,Phlebovirus riftense,95EG Cow-2509,M,490,partial,Egypt,Bos taurus,1995,95EG Cow-2509,Egypt,Egypt | 95EG Cow-2509
DQ375403,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,Egypt,NA,1977,ACCESSION_DQ375403,Egypt,Egypt | ACCESSION_DQ375403
DQ375404,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,Egypt,NA,1977,ACCESSION_DQ375404,Egypt,Egypt | ACCESSION_DQ375404
DQ375405,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,Egypt,NA,1977,ACCESSION_DQ375405,Egypt,Egypt | ACCESSION_DQ375405
DQ375406,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,Egypt,NA,1977,ACCESSION_DQ375406,Egypt,Egypt | ACCESSION_DQ375406
DQ375407,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,Egypt,Culex pipiens,1977,ACCESSION_DQ375407,Egypt,Egypt | ACCESSION_DQ375407
DQ375408,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,Egypt,NA,1977,ACCESSION_DQ375408,Egypt,Egypt | ACCESSION_DQ375408
DQ375409,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,Egypt,Culicidae,1978,ACCESSION_DQ375409,Egypt,Egypt | ACCESSION_DQ375409
DQ375410,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,Egypt,Ovis aries,1979,ACCESSION_DQ375410,Egypt,Egypt | ACCESSION_DQ375410
DQ375411,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,Egypt,NA,1978,ACCESSION_DQ375411,Egypt,Egypt | ACCESSION_DQ375411
DQ375412,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,Egypt,Bos taurus,1978,ACCESSION_DQ375412,Egypt,Egypt | ACCESSION_DQ375412
DQ380145,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,complete,Egypt,Ovis aries,1979,ACCESSION_DQ380145,Egypt,Egypt | ACCESSION_DQ380145
DQ380146,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,complete,Egypt,Culicidae,1978,ACCESSION_DQ380146,Egypt,Egypt | ACCESSION_DQ380146
DQ380147,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,complete,Egypt,Ochlerotatus taeniorhynchus,NA,ACCESSION_DQ380147,Egypt,Egypt | ACCESSION_DQ380147
DQ380148,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,complete,Egypt,NA,NA,ACCESSION_DQ380148,Egypt,Egypt | ACCESSION_DQ380148
DQ380149,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,complete,Egypt,Homo sapiens,1977,ACCESSION_DQ380149,Egypt,Egypt | ACCESSION_DQ380149
DQ380150,Rift Valley fever virus,Phlebovirus riftense,NA,S,1689,complete,Egypt,Culex pipiens,NA,ACCESSION_DQ380150,Egypt,Egypt | ACCESSION_DQ380150
DQ380151,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,complete,Egypt,Homo sapiens,1977,ACCESSION_DQ380151,Egypt,Egypt | ACCESSION_DQ380151
DQ380152,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,complete,Egypt,Bos taurus,1978,ACCESSION_DQ380152,Egypt,Egypt | ACCESSION_DQ380152
DQ380153,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,complete,Egypt,Homo sapiens,1978,ACCESSION_DQ380153,Egypt,Egypt | ACCESSION_DQ380153
DQ380154,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,complete,Egypt,NA,1977,ACCESSION_DQ380154,Egypt,Egypt | ACCESSION_DQ380154
DQ380199,Rift Valley fever virus,Phlebovirus riftense,NA,M,3885,complete,Egypt,Ochlerotatus taeniorhynchus,1977,ACCESSION_DQ380199,Egypt,Egypt | ACCESSION_DQ380199
DQ380200,Rift Valley fever virus,Phlebovirus riftense,NA,M,3885,complete,Egypt,Homo sapiens,1977,ACCESSION_DQ380200,Egypt,Egypt | ACCESSION_DQ380200
DQ380201,Rift Valley fever virus,Phlebovirus riftense,NA,M,3885,complete,Egypt,Culex pipiens,1977,ACCESSION_DQ380201,Egypt,Egypt | ACCESSION_DQ380201
DQ380202,Rift Valley fever virus,Phlebovirus riftense,NA,M,3885,complete,Egypt,NA,1977,ACCESSION_DQ380202,Egypt,Egypt | ACCESSION_DQ380202
DQ380203,Rift Valley fever virus,Phlebovirus riftense,NA,M,3885,complete,Egypt,Homo sapiens,1978,ACCESSION_DQ380203,Egypt,Egypt | ACCESSION_DQ380203
DQ380204,Rift Valley fever virus,Phlebovirus riftense,NA,M,3885,complete,Egypt,Culicidae,1978,ACCESSION_DQ380204,Egypt,Egypt | ACCESSION_DQ380204
DQ380205,Rift Valley fever virus,Phlebovirus riftense,NA,M,3885,complete,Egypt,Ovis aries,1979,ACCESSION_DQ380205,Egypt,Egypt | ACCESSION_DQ380205
DQ380206,Rift Valley fever virus,Phlebovirus riftense,NA,M,3885,complete,Egypt,Homo sapiens,1977,ACCESSION_DQ380206,Egypt,Egypt | ACCESSION_DQ380206
DQ380207,Rift Valley fever virus,Phlebovirus riftense,NA,M,3885,complete,Egypt,Bos taurus,1978,ACCESSION_DQ380207,Egypt,Egypt | ACCESSION_DQ380207
EU312110,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,complete,Egypt,Metazoa,1994,ACCESSION_EU312110,Egypt,Egypt | ACCESSION_EU312110
EU312137,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,complete,Egypt,Homo sapiens,1977,ACCESSION_EU312137,Egypt,Egypt | ACCESSION_EU312137
EU312138,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,complete,Egypt,Homo sapiens,1977,ACCESSION_EU312138,Egypt,Egypt | ACCESSION_EU312138
GU953292,Rift Valley fever virus,Phlebovirus riftense,NA,M,570,partial,Egypt,Homo sapiens,NA,ACCESSION_GU953292,Egypt,Egypt | ACCESSION_GU953292
NC_014395,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,complete,Egypt,Homo sapiens,1977,ACCESSION_NC_014395,Egypt,Egypt | ACCESSION_NC_014395
NC_014396,Rift Valley fever virus,Phlebovirus riftense,NA,M,3885,complete,Egypt,Homo sapiens,1977,ACCESSION_NC_014396,Egypt,Egypt | ACCESSION_NC_014396
NC_014397,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,Egypt,NA,1977,ACCESSION_NC_014397,Egypt,Egypt | ACCESSION_NC_014397
MW717937,Rift Valley fever virus,Phlebovirus riftense,EGY-Bat-1/20,M,513,partial,Egypt,Chiroptera,2019-12-11,EGY-Bat-1/20,Egypt,Egypt | EGY-Bat-1/20
MW816826,Rift Valley fever virus,Phlebovirus riftense,EGY-Bat-1/20,S,599,partial,Egypt,Chiroptera,2019-12-11,EGY-Bat-1/20,Egypt,Egypt | EGY-Bat-1/20
MW717938,Rift Valley fever virus,Phlebovirus riftense,Egy-Bat-2/20,M,510,partial,Egypt,Chiroptera,2019-12-11,Egy-Bat-2/20,Egypt,Egypt | Egy-Bat-2/20
MW816827,Rift Valley fever virus,Phlebovirus riftense,Egy-Bat-2/20,S,599,partial,Egypt,Chiroptera,2019-12-11,Egy-Bat-2/20,Egypt,Egypt | Egy-Bat-2/20
HQ403564,Rift Valley fever virus,Phlebovirus riftense,RVFV/VRLCU/Cairo4/2004,M,400,partial,Egypt,Ixodoidea,2004,RVFV/VRLCU/Cairo4/2004,Egypt,Egypt | RVFV/VRLCU/Cairo4/2004
HQ403563,Rift Valley fever virus,Phlebovirus riftense,RVFV/VRLCU/Cairo7/2004,M,605,partial,Egypt,Ixodoidea,2004,RVFV/VRLCU/Cairo7/2004,Egypt,Egypt | RVFV/VRLCU/Cairo7/2004
HQ403562,Rift Valley fever virus,Phlebovirus riftense,RVFV/VRLCU/Marsa Matrouh19/2004,M,324,partial,Egypt,Ixodoidea,2004,RVFV/VRLCU/Marsa Matrouh19/2004,Egypt,Egypt | RVFV/VRLCU/Marsa Matrouh19/2004
OQ440154,Rift Valley fever virus,Phlebovirus riftense,ZH-548,L,6404,partial,Egypt,NA,1977,ZH-548,Egypt,Egypt | ZH-548
OQ440155,Rift Valley fever virus,Phlebovirus riftense,ZH-548,M,3885,partial,Egypt,Homo sapiens,1977,ZH-548,Egypt,Egypt | ZH-548
OR805805,Rift Valley fever virus,Phlebovirus riftense,ZH548,L,6404,partial,Egypt,Homo sapiens,1977,ZH548,Egypt,Egypt | ZH548
OR805806,Rift Valley fever virus,Phlebovirus riftense,ZH548,M,3885,partial,Egypt,Homo sapiens,1977,ZH548,Egypt,Egypt | ZH548
OR805807,Rift Valley fever virus,Phlebovirus riftense,ZH548,S,1690,partial,Egypt,Homo sapiens,1977,ZH548,Egypt,Egypt | ZH548
OR528950,Rift Valley fever virus,Phlebovirus riftense,2019/7,S,1680,partial,Gabon,Philantomba monticola,2019-04-20,2019/7,Gabon,Gabon | 2019/7
OR528951,Rift Valley fever virus,Phlebovirus riftense,2019/Sample-108,S,1690,complete,Gabon,Philantomba monticola,2019-07-01,2019/Sample-108,Gabon,Gabon | 2019/Sample-108
OR528952,Rift Valley fever virus,Phlebovirus riftense,2019/Sample-120,S,1681,partial,Gabon,Philantomba monticola,2019-07-02,2019/Sample-120,Gabon,Gabon | 2019/Sample-120
OR528953,Rift Valley fever virus,Phlebovirus riftense,2019/Sample-166,S,1690,complete,Gabon,Cephalophorus callipygus,2019-07-06,2019/Sample-166,Gabon,Gabon | 2019/Sample-166
DQ375420,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,Guinea,Hipposideros caffer,1981,ACCESSION_DQ375420,Guinea,Guinea | ACCESSION_DQ375420
DQ375421,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,Guinea,Epomophorus pusillus,1984,ACCESSION_DQ375421,Guinea,Guinea | ACCESSION_DQ375421
DQ380165,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,complete,Guinea,Hipposideros caffer,1981,ACCESSION_DQ380165,Guinea,Guinea | ACCESSION_DQ380165
DQ380166,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,complete,Guinea,Epomophorus pusillus,1984,ACCESSION_DQ380166,Guinea,Guinea | ACCESSION_DQ380166
DQ380215,Rift Valley fever virus,Phlebovirus riftense,NA,M,3885,complete,Guinea,Hipposideros caffer,1981,ACCESSION_DQ380215,Guinea,Guinea | ACCESSION_DQ380215
DQ380216,Rift Valley fever virus,Phlebovirus riftense,NA,M,3885,complete,Guinea,Epomops,1984,ACCESSION_DQ380216,Guinea,Guinea | ACCESSION_DQ380216
EU312109,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,complete,Guinea,Epomophorus pusillus,1984,ACCESSION_EU312109,Guinea,Guinea | ACCESSION_EU312109
HM587084,Rift Valley fever virus,Phlebovirus riftense,AnK3837,M,490,partial,Guinea,Hipposideros caffer,1981,AnK3837,Guinea,Guinea | AnK3837
PP747229,Rift Valley fever virus,Phlebovirus riftense,08HAB,L,6253,partial,Kenya,Bos taurus,2018-01-01,08HAB,Kenya,Kenya | 08HAB
PP747234,Rift Valley fever virus,Phlebovirus riftense,08HAB,M,3840,partial,Kenya,Bos taurus,2018-01-01,08HAB,Kenya,Kenya | 08HAB
PP747239,Rift Valley fever virus,Phlebovirus riftense,08HAB,S,1606,partial,Kenya,Bos taurus,2018-01-01,08HAB,Kenya,Kenya | 08HAB
HM587074,Rift Valley fever virus,Phlebovirus riftense,214445,M,490,partial,Kenya,Aedes mcintoshi,1983,214445,Kenya,Kenya | 214445
PP746415,Rift Valley fever virus,Phlebovirus riftense,250618,L,6385,partial,Kenya,Homo sapiens,2018-06-06,250618,Kenya,Kenya | 250618
PP746418,Rift Valley fever virus,Phlebovirus riftense,250618,M,3875,partial,Kenya,Homo sapiens,2018-06-06,250618,Kenya,Kenya | 250618
PP746421,Rift Valley fever virus,Phlebovirus riftense,250618,S,1670,partial,Kenya,Homo sapiens,2018-06-06,250618,Kenya,Kenya | 250618
PP746416,Rift Valley fever virus,Phlebovirus riftense,500618,L,6384,partial,Kenya,Homo sapiens,2018-06-12,500618,Kenya,Kenya | 500618
PP746419,Rift Valley fever virus,Phlebovirus riftense,500618,M,3863,partial,Kenya,Homo sapiens,2018-06-12,500618,Kenya,Kenya | 500618
PP746422,Rift Valley fever virus,Phlebovirus riftense,500618,S,1663,partial,Kenya,Homo sapiens,2018-06-12,500618,Kenya,Kenya | 500618
PP746445,Rift Valley fever virus,Phlebovirus riftense,A-MO,L,6391,partial,Kenya,Homo sapiens,2020-11-01,A-MO,Kenya,Kenya | A-MO
PP746453,Rift Valley fever virus,Phlebovirus riftense,A-MO,M,3875,partial,Kenya,Homo sapiens,2020-11-01,A-MO,Kenya,Kenya | A-MO
PP746461,Rift Valley fever virus,Phlebovirus riftense,A-MO,S,1684,partial,Kenya,Homo sapiens,2020-11-01,A-MO,Kenya,Kenya | A-MO
DQ375400,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,Kenya,NA,1998,ACCESSION_DQ375400,Kenya,Kenya | ACCESSION_DQ375400
DQ375402,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,Kenya,Ochlerotatus macintoshi,1983,ACCESSION_DQ375402,Kenya,Kenya | ACCESSION_DQ375402
DQ375427,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,Kenya,Bos taurus,NA,ACCESSION_DQ375427,Kenya,Kenya | ACCESSION_DQ375427
DQ375431,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,Kenya,Ovis aries,1951,ACCESSION_DQ375431,Kenya,Kenya | ACCESSION_DQ375431
